id,date,dayOfWeek,artist,city,state,venue,attendedWith,hasPoster,setlistLink,tourName,openingActs,notes
62,2019-11-24,Sunday,Tool,Raleigh,NC,PNC Arena,"Josh R., Bill B.",Yes,https://www.setlist.fm/setlist/tool/2019/pnc-arena-raleigh-nc-1b9ad1e0.html,Fear Inoculum Tour,Killing Joke,
63,2020-01-17,Friday,Tool,Las Vegas,NV,T-Mobile Arena,Bill B.,Yes,https://www.setlist.fm/setlist/tool/2020/t-mobile-arena-las-vegas-nv-6b9b72de.html,Fear Inoculum Tour,Author & Punisher,
64,2020-02-08,Saturday,KISS,Greensboro,NC,Greensboro Coliseum,Lily K.,Yes,https://www.setlist.fm/setlist/kiss/2020/greensboro-coliseum-greensboro-nc-3398d04d.html,End of the Road World Tour,David Lee Roth,
65,2021-09-11,Saturday,The Black Crowes,Raleigh,NC,Coastal Credit Union Music Park at Walnut Creek,Josh A.,Yes,https://www.setlist.fm/setlist/the-black-crowes/2021/coastal-credit-union-music-park-at-walnut-creek-raleigh-nc-538c1731.html,Shake Your Money Maker Tour,,
66,2021-09-29,Wednesday,Guns N' Roses,Raleigh,NC,PNC Arena,Bill B.,Yes,https://www.setlist.fm/setlist/guns-n-roses/2021/pnc-arena-raleigh-nc-138d89b5.html,We're F'n' Back! Tour / 2021 Stadium Tour,,
67,2021-11-11,Thursday,Welcome To Rockville Festival - Day 1,Daytona,FL,Daytona Speedway,Bill B.,Yes,https://www.setlist.fm/search?query=Welcome+To+Rockville+Festival+11%2F11%2F2021,Welcome to Rockville 2021,"Slipknot, Cypress Hill, grandson, Dead Sara, Spiritbox, Dana Dentata, A Day to Remember, Gojira, Dorothy, Teenage Wrist, Siiickbrain, Brass Against, NASCAR Aloe, Jeris Johnson, Blame My Youth, Contracult Collective, Them Evils, Revision, Revised, The Alpha Complex, A War Within, Scarlett O'hara, Dead Reckoning, Shadow the Earth, As You Were",
68,2021-11-12,Friday,Welcome To Rockville Festival - Day 2,Daytona,FL,Daytona Speedway,Bill B.,Yes,https://www.setlist.fm/search?query=Welcome+To+Rockville+Festival+11%2F11%2F2021,Welcome to Rockville 2021,"Metallica, Social Distortion, Pennywise, Ice Nine Kills, Ayron Jones, Austin Meade, Rob Zombie, Chevelle, Beartooth, Starset, Wage War, Butcher Babies, Amigo the Devil, Bad Omens, Tallah, Eva Under Fire, Zero 9:36, Whit3 Collr, Divided Truth, ReBirth, Tragic, VENTRUSS, The Coursing, As You Were",
69,2021-11-13,Saturday,Welcome To Rockville Festival- Day 3,Daytona,FL,Daytona Speedway,Bill B.,Yes,https://www.setlist.fm/search?query=Welcome+To+Rockville+Festival+11%2F11%2F2021,Welcome to Rockville 2021,"Disturbed, Staind, The Offspring, Badflower, Fever 333, Dead Poet Society, Brkn Love, Lamb of God, Asking Alexandria, Atreyu, Sick Puppies, Fame on Fire, Gwar, Crown the Empire, 3Teeth, All Good Things, Joyous Wolf, Reach NYC, Magnolia Bayou, Actus Reus, Widow7, Timmy Taylor, NoSelf, Troy, Higher Ground, As You Were",
70,2021-11-14,Sunday,Welcome To Rockville Festival - Day 4,Daytona,FL,Daytona Speedway,Bill B.,Yes,https://www.setlist.fm/search?query=Welcome+To+Rockville+Festival+11%2F11%2F2021,Welcome to Rockville 2021,"Metallica, Mudvayne, Falling in Reverse, Sleeping with Sirens, Alien Weaponry, Goodbye June, Lynyrd Skynyrd, Mastodon, Anthrax, Dance Gavin Dance, Fire from the Gods, Survive the Sun, Code Orange, Jelly Roll, The Warning, Avoid, Hero the Band, As You Were, Lone Wolf, The Dev, Imperial Tide, Lines of Loyalty",
71,2021-11-19,Friday,Genesis,Raleigh,NC,PNC Arena,"Dana K., Cheryl H., Allyson F.",Yes,https://www.setlist.fm/setlist/genesis/2021/pnc-arena-raleigh-nc-238a1413.html,The Last Domino? Tour,,
